exchange,symbol,timestamp,local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount,asks[5].price,asks[5].amount,bids[5].price,bids[5].amount,asks[6].price,asks[6].amount,bids[6].price,bids[6].amount,asks[7].price,asks[7].amount,bids[7].price,bids[7].amount,asks[8].price,asks[8].amount,bids[8].price,bids[8].amount,asks[9].price,asks[9].amount,bids[9].price,bids[9].amount,asks[10].price,asks[10].amount,bids[10].price,bids[10].amount,asks[11].price,asks[11].amount,bids[11].price,bids[11].amount,asks[12].price,asks[12].amount,bids[12].price,bids[12].amount,asks[13].price,asks[13].amount,bids[13].price,bids[13].amount,asks[14].price,asks[14].amount,bids[14].price,bids[14].amount,asks[15].price,asks[15].amount,bids[15].price,bids[15].amount,asks[16].price,asks[16].amount,bids[16].price,bids[16].amount,asks[17].price,asks[17].amount,bids[17].price,bids[17].amount,asks[18].price,asks[18].amount,bids[18].price,bids[18].amount,asks[19].price,asks[19].amount,bids[19].price,bids[19].amount,asks[20].price,asks[20].amount,bids[20].price,bids[20].amount,asks[21].price,asks[21].amount,bids[21].price,bids[21].amount,asks[22].price,asks[22].amount,bids[22].price,bids[22].amount,asks[23].price,asks[23].amount,bids[23].price,bids[23].amount,asks[24].price,asks[24].amount,bids[24].price,bids[24].amount
binance-futures,BTCUSDT,1725148800263000,1725148801008613,58941.9,9.028,58941.8,7.522,58942,0.002,58941.7,0.029,58942.2,0.376,58941.3,0.004,58942.6,0.068,58941.2,0.002,58943,0.002,58941,0.002,58943.2,0.094,58940,0.481,58943.3,0.071,58939,0.002,58943.5,0.204,58938.9,0.039,58944,0.004,58938.5,0.002,58944.1,0.051,58938.4,0.004,58944.4,0.071,58938.1,0.008,58944.7,0.002,58938,0.081,58944.8,0.003,58937.9,0.005,58944.9,0.017,58937.8,0.008,58945,0.056,58937.3,0.002,58945.5,0.071,58937.1,0.002,58945.9,0.576,58937,0.002,58946,1.261,58936.9,0.002,58946.1,0.042,58936.7,0.002,58946.3,0.735,58936.5,0.204,58946.4,0.041,58936.4,0.42,58946.6,0.096,58936.3,0.034,58946.7,0.051,58936,0.095,58946.8,0.02,58935.9,0.012,58946.9,0.105,58935.8,0.004
binance-futures,BTCUSDT,1725148803238000,1725148803242248,58941.9,9.028,58941.8,7.407,58942,0.002,58941.7,0.029,58942.2,0.376,58941.3,0.004,58942.6,0.068,58941.2,0.002,58943,0.002,58941,0.002,58943.2,0.094,58940,0.481,58943.3,0.071,58939,0.002,58943.5,0.204,58938.9,0.039,58944,0.004,58938.5,0.002,58944.1,0.051,58938.4,0.004,58944.4,0.071,58938.1,0.008,58944.7,0.002,58938,0.081,58944.8,0.003,58937.9,0.005,58944.9,0.017,58937.8,0.008,58945,0.056,58937.3,0.002,58945.5,0.071,58937.1,0.002,58945.9,0.576,58937,0.002,58946,1.261,58936.9,0.002,58946.1,0.042,58936.7,0.002,58946.3,0.735,58936.5,0.204,58946.4,0.041,58936.4,0.42,58946.6,0.096,58936.3,0.034,58946.7,0.051,58936,0.095,58946.8,0.02,58935.9,0.012,58946.9,0.105,58935.8,0.004
binance-futures,BTCUSDT,1725148803478000,1725148803482968,58941.9,9.02,58941.8,7.196,58942,0.002,58941.7,0.029,58942.2,0.291,58941.3,0.004,58942.6,0.068,58941.2,0.002,58943,0.002,58941,0.002,58943.1,0.002,58940.6,0.002,58943.2,0.094,58940,0.549,58943.3,0.071,58939,0.002,58943.5,0.204,58938.9,0.039,58944,0.004,58938.5,0.002,58944.4,0.071,58938.4,0.004,58944.7,0.002,58938.1,0.008,58944.8,0.003,58938,0.081,58944.9,0.017,58937.9,0.005,58945,0.056,58937.8,0.008,58945.4,0.002,58937.3,0.002,58945.5,0.071,58937.1,0.002,58945.9,0.576,58937,0.002,58946,0.079,58936.9,0.002,58946.1,0.042,58936.7,0.004,58946.3,0.209,58936.5,0.204,58946.4,0.041,58936.4,0.084,58946.6,0.096,58936.3,0.034,58946.7,0.051,58936,0.095,58946.8,0.02,58935.9,0.012
binance-futures,BTCUSDT,1725148803529000,1725148803536983,58941.9,8.987,58941.8,1.856,58942,0.002,58941.7,0.029,58942.2,0.282,58941.3,0.004,58942.6,0.068,58941.2,0.002,58943,0.002,58941,0.002,58943.1,0.002,58940.6,0.002,58943.2,0.094,58940,0.549,58943.3,0.071,58939,0.002,58943.5,0.204,58938.9,0.039,58944,0.004,58938.5,0.002,58944.4,0.071,58938.4,0.004,58944.7,0.002,58938.1,0.008,58944.8,0.003,58938,0.081,58944.9,0.017,58937.9,0.005,58945,0.056,58937.8,0.008,58945.4,0.002,58937.3,0.002,58945.5,0.241,58937.1,0.002,58945.9,0.576,58937,0.002,58946,0.079,58936.9,0.002,58946.1,0.042,58936.7,0.172,58946.3,0.092,58936.5,0.204,58946.4,0.041,58936.4,0.084,58946.6,0.096,58936,0.095,58946.8,0.02,58935.9,0.012,58946.9,0.105,58935.8,0.004
binance-futures,BTCUSDT,1725148803580000,1725148803584395,58941.9,6.898,58941.8,0.69,58942,0.002,58941.7,0.029,58942.2,0.282,58941.3,0.004,58942.6,0.068,58941.2,0.002,58943,0.002,58941,0.002,58943.2,0.094,58940,0.481,58943.3,0.071,58939,0.002,58943.5,0.204,58938.9,0.039,58944,0.004,58938.5,0.002,58944.4,0.071,58938.4,0.004,58944.7,0.002,58938.1,0.008,58944.8,0.003,58938,0.081,58944.9,0.017,58937.9,0.005,58945,0.056,58937.3,0.002,58945.4,0.002,58937.1,0.002,58945.5,0.337,58937,0.002,58945.9,0.113,58936.9,0.002,58946,0.079,58936.7,0.002,58946.1,0.042,58936.5,0.204,58946.3,0.088,58936.4,0.082,58946.4,0.041,58936,0.095,58946.6,0.096,58935.9,0.012,58946.8,0.02,58935.8,0.004,58946.9,0.105,58935.7,0.085,58947,0.231,58935.6,0.014
binance-futures,BTCUSDT,1725148803632000,1725148803636690,58941.9,3.295,58941.8,4.932,58942,0.002,58941.7,0.029,58942.2,0.282,58941.3,0.004,58942.4,0.007,58941.2,0.002,58942.6,0.005,58941,0.002,58943,0.002,58940,0.268,58943.2,0.094,58939,0.002,58943.3,0.071,58938.5,0.002,58943.5,0.204,58938.4,0.004,58944,0.002,58938.1,0.008,58944.4,0.071,58938,0.081,58944.7,0.002,58937.9,0.005,58944.8,0.007,58937.8,0.002,58944.9,0.017,58937.3,0.002,58945,0.056,58937.1,0.002,58945.4,0.114,58937,0.002,58945.5,0.337,58936.9,0.002,58946,0.079,58936.8,0.078,58946.1,0.01,58936.7,0.002,58946.3,0.088,58936.5,0.204,58946.4,0.041,58936.4,0.082,58946.6,0.096,58936,0.095,58946.8,0.02,58935.8,0.17,58946.9,0.02,58935.7,0.085,58947,0.316,58935.6,0.168
binance-futures,BTCUSDT,1725148803683000,1725148803690281,58941.9,8.919,58941.8,5.751,58942,0.002,58941.7,0.029,58942.2,0.243,58941.3,0.004,58942.4,0.007,58941.2,0.002,58942.6,0.005,58941,0.002,58943,0.002,58940.6,0.002,58943.1,0.002,58940,0.472,58943.2,0.147,58939,0.002,58943.3,0.407,58938.5,0.002,58943.5,0.204,58938.4,0.004,58944,0.002,58938.1,0.045,58944.4,0.071,58938,0.081,58944.7,0.002,58937.9,0.005,58944.8,0.007,58937.8,0.002,58944.9,0.017,58937.3,0.002,58945,0.056,58937.1,0.002,58945.4,0.002,58937,0.002,58945.5,0.422,58936.9,0.002,58945.9,0.106,58936.7,0.002,58946,0.079,58936.5,0.204,58946.1,0.01,58936.4,0.082,58946.3,0.088,58936,0.129,58946.4,0.041,58935.9,0.007,58946.6,0.096,58935.8,0.014,58946.8,0.02,58935.7,0.085
binance-futures,BTCUSDT,1725148803734000,1725148803738392,58941.9,9.099,58941.8,4.384,58942,0.002,58941.7,0.029,58942.2,0.243,58941.3,0.004,58942.4,0.011,58941.2,0.002,58942.6,0.005,58941,0.002,58943,0.002,58940.6,0.002,58943.1,0.002,58940,0.404,58943.2,0.147,58939,0.002,58943.3,0.407,58938.5,0.002,58943.5,0.204,58938.4,0.004,58944,0.002,58938.1,0.045,58944.4,0.071,58938,0.081,58944.5,0.003,58937.9,0.005,58944.7,0.002,58937.8,0.01,58944.8,0.007,58937.3,0.002,58944.9,0.017,58937.1,0.002,58945,0.056,58937,0.002,58945.4,0.002,58936.9,0.002,58945.5,0.337,58936.7,0.002,58946,0.079,58936.5,0.204,58946.1,0.01,58936.4,0.082,58946.3,0.088,58936,0.129,58946.4,0.041,58935.9,0.007,58946.6,0.096,58935.8,0.014,58946.8,0.02,58935.7,0.085
binance-futures,BTCUSDT,1725148803785000,1725148803787636,58941.9,10.48,58941.8,0.193,58942,0.002,58941.7,0.029,58942.1,0.336,58941.3,0.004,58942.2,0.243,58941.2,0.002,58942.4,0.014,58941,0.002,58942.6,0.005,58940.6,0.002,58943,0.002,58940,0.268,58943.1,0.002,58939,0.002,58943.2,0.292,58938.5,0.002,58943.3,0.071,58938.4,0.004,58943.5,0.204,58938.1,0.045,58944,0.002,58938,0.081,58944.4,0.071,58937.9,0.005,58944.5,0.003,58937.8,0.01,58944.7,0.002,58937.3,0.002,58944.8,0.007,58937.1,0.002,58944.9,0.017,58937,0.002,58945,0.056,58936.9,0.002,58945.4,0.002,58936.7,0.002,58945.5,0.337,58936.5,0.204,58946,0.079,58936.4,0.082,58946.1,0.01,58936,0.129,58946.3,0.088,58935.9,0.007,58946.4,0.041,58935.8,0.014,58946.6,0.096,58935.7,0.085
binance-futures,BTCUSDT,1725148803838000,1725148803840328,58941.9,12.898,58941.8,0.173,58942,0.002,58941.3,0.004,58942.1,0.336,58941.2,0.002,58942.2,0.243,58941,0.002,58942.4,0.014,58940.6,0.002,58942.6,0.005,58940.1,0.126,58942.7,0.007,58940,0.268,58943,0.002,58939,0.002,58943.1,0.002,58938.5,0.002,58943.2,0.094,58938.4,0.004,58943.3,0.071,58938,0.081,58943.5,0.204,58937.9,0.005,58944,0.002,58937.8,0.01,58944.4,0.071,58937.3,0.002,58944.5,0.09,58937.1,0.002,58944.7,0.002,58937,0.002,58944.8,0.007,58936.9,0.002,58944.9,0.017,58936.7,0.002,58945,0.056,58936.5,0.136,58945.4,0.002,58936.4,0.082,58945.5,0.337,58936,0.129,58946,0.079,58935.9,0.007,58946.1,0.01,58935.8,0.014,58946.3,0.088,58935.6,0.012,58946.4,0.041,58935.3,0.238
