exchange,symbol,timestamp,local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount,asks[5].price,asks[5].amount,bids[5].price,bids[5].amount,asks[6].price,asks[6].amount,bids[6].price,bids[6].amount,asks[7].price,asks[7].amount,bids[7].price,bids[7].amount,asks[8].price,asks[8].amount,bids[8].price,bids[8].amount,asks[9].price,asks[9].amount,bids[9].price,bids[9].amount,asks[10].price,asks[10].amount,bids[10].price,bids[10].amount,asks[11].price,asks[11].amount,bids[11].price,bids[11].amount,asks[12].price,asks[12].amount,bids[12].price,bids[12].amount,asks[13].price,asks[13].amount,bids[13].price,bids[13].amount,asks[14].price,asks[14].amount,bids[14].price,bids[14].amount,asks[15].price,asks[15].amount,bids[15].price,bids[15].amount,asks[16].price,asks[16].amount,bids[16].price,bids[16].amount,asks[17].price,asks[17].amount,bids[17].price,bids[17].amount,asks[18].price,asks[18].amount,bids[18].price,bids[18].amount,asks[19].price,asks[19].amount,bids[19].price,bids[19].amount,asks[20].price,asks[20].amount,bids[20].price,bids[20].amount,asks[21].price,asks[21].amount,bids[21].price,bids[21].amount,asks[22].price,asks[22].amount,bids[22].price,bids[22].amount,asks[23].price,asks[23].amount,bids[23].price,bids[23].amount,asks[24].price,asks[24].amount,bids[24].price,bids[24].amount
binance-futures,ETHUSDC,1725148800039000,1725148802037914,2511.86,17.856,2511.85,0.062,2511.9,0.796,2511.8,0.05,2511.95,0.05,2511.75,0.05,2511.96,3.69,2511.7,0.846,2511.97,5.971,2511.65,0.688,2511.99,5.655,2511.6,0.846,2512,10.798,2511.55,0.05,2512.03,2.613,2511.53,0.01,2512.05,0.05,2511.52,0.041,2512.06,1.361,2511.51,0.764,2512.08,11.142,2511.5,0.858,2512.1,0.846,2511.48,0.995,2512.12,0.995,2511.47,1.365,2512.13,11.142,2511.45,0.05,2512.14,0.152,2511.43,1.774,2512.15,0.05,2511.42,2.612,2512.16,0.597,2511.4,4.458,2512.19,5.064,2511.38,0.796,2512.2,0.846,2511.37,0.154,2512.23,0.741,2511.36,0.413,2512.24,11.141,2511.35,1.923,2512.25,2.287,2511.31,0.995,2512.26,0.012,2511.3,0.846,2512.27,0.554,2511.28,0.008,2512.28,0.01,2511.27,0.995
binance-futures,ETHUSDC,1725148802193000,1725148802196355,2511.86,17.856,2511.85,0.062,2511.9,0.796,2511.8,0.05,2511.95,0.05,2511.75,0.05,2511.96,3.69,2511.7,0.846,2511.97,5.971,2511.65,0.688,2511.99,5.655,2511.6,0.846,2512,10.798,2511.55,0.05,2512.03,2.613,2511.53,0.01,2512.05,0.05,2511.52,0.041,2512.06,1.361,2511.51,0.764,2512.08,11.142,2511.5,0.858,2512.1,0.846,2511.48,0.995,2512.12,0.995,2511.47,1.365,2512.13,11.142,2511.45,0.05,2512.14,0.152,2511.43,1.774,2512.15,0.05,2511.42,2.612,2512.16,0.597,2511.4,3.832,2512.19,5.064,2511.38,0.796,2512.2,0.846,2511.37,0.154,2512.23,0.741,2511.36,0.413,2512.24,11.141,2511.35,1.923,2512.25,2.287,2511.31,0.995,2512.26,0.012,2511.3,0.846,2512.27,0.554,2511.28,0.008,2512.28,0.01,2511.27,0.995
binance-futures,ETHUSDC,1725148803479000,1725148803485868,2511.86,17.856,2511.85,1.998,2511.88,0.68,2511.8,0.05,2511.9,0.796,2511.75,0.05,2511.95,0.05,2511.7,0.846,2511.96,3.69,2511.65,0.688,2511.97,5.971,2511.6,0.846,2511.99,5.655,2511.55,0.05,2512,10.798,2511.53,0.01,2512.03,2.613,2511.52,0.041,2512.05,0.05,2511.5,0.858,2512.06,0.761,2511.45,0.05,2512.1,0.846,2511.42,2.612,2512.12,0.995,2511.4,3.832,2512.14,0.152,2511.38,0.796,2512.15,0.05,2511.37,0.154,2512.16,0.597,2511.36,0.413,2512.19,5.064,2511.35,1.923,2512.2,0.846,2511.3,0.846,2512.23,0.741,2511.28,0.008,2512.25,2.287,2511.26,5.094,2512.26,0.012,2511.25,0.062,2512.27,0.554,2511.2,7.009,2512.28,10.51,2511.19,22.683,2512.29,0.041,2511.17,0.016,2512.3,4.951,2511.15,0.05
binance-futures,ETHUSDC,1725148803532000,1725148803542965,2511.86,17.856,2511.85,1.998,2511.9,0.796,2511.8,0.05,2511.95,0.05,2511.75,0.05,2511.96,3.69,2511.7,0.846,2511.97,5.971,2511.65,0.091,2511.99,5.655,2511.6,0.846,2512,10.798,2511.55,0.05,2512.03,2.613,2511.53,0.01,2512.05,0.05,2511.52,0.041,2512.06,0.761,2511.5,0.858,2512.1,0.846,2511.45,0.05,2512.12,0.995,2511.44,0.995,2512.14,0.152,2511.42,2.612,2512.15,0.05,2511.4,0.846,2512.19,5.064,2511.38,0.796,2512.2,0.846,2511.37,0.154,2512.23,0.741,2511.36,0.413,2512.25,2.287,2511.35,1.923,2512.26,0.012,2511.3,0.846,2512.27,0.554,2511.28,0.008,2512.28,10.51,2511.26,5.094,2512.29,0.041,2511.25,0.062,2512.3,4.951,2511.2,7.009,2512.33,5.969,2511.19,22.683,2512.34,0.1,2511.17,0.016
binance-futures,ETHUSDC,1725148803583000,1725148803591099,2511.86,17.864,2511.85,0.078,2511.9,0.796,2511.8,0.05,2511.95,0.05,2511.75,0.05,2511.96,3.69,2511.7,0.846,2511.97,5.971,2511.65,0.091,2511.99,16.797,2511.6,0.846,2512,10.798,2511.55,0.05,2512.04,11.142,2511.53,0.01,2512.05,0.05,2511.52,0.041,2512.09,11.141,2511.51,0.034,2512.1,0.846,2511.5,0.858,2512.12,0.995,2511.47,1.365,2512.14,0.152,2511.45,0.05,2512.15,0.05,2511.44,0.995,2512.2,0.846,2511.43,1.774,2512.23,0.741,2511.42,2.612,2512.25,4.506,2511.4,0.846,2512.26,0.012,2511.38,0.796,2512.27,0.554,2511.37,0.154,2512.28,10.51,2511.36,0.413,2512.29,0.041,2511.35,1.923,2512.3,4.951,2511.3,0.846,2512.33,5.969,2511.28,0.008,2512.34,0.1,2511.25,0.062,2512.35,0.05,2511.2,7.009
binance-futures,ETHUSDC,1725148803638000,1725148803643965,2511.81,4.597,2511.8,0.05,2511.86,21.392,2511.75,0.05,2511.9,0.796,2511.7,0.846,2511.95,0.05,2511.65,0.091,2511.96,3.69,2511.6,2.699,2511.97,5.971,2511.55,0.05,2511.99,16.797,2511.53,0.01,2512,10.798,2511.52,0.041,2512.04,11.142,2511.51,0.034,2512.05,0.05,2511.5,0.858,2512.09,11.141,2511.47,1.365,2512.1,0.846,2511.45,0.05,2512.12,0.995,2511.43,1.774,2512.14,0.152,2511.42,2.612,2512.15,0.05,2511.4,0.846,2512.2,0.846,2511.38,0.796,2512.23,0.741,2511.37,0.154,2512.25,4.506,2511.36,0.413,2512.26,0.012,2511.35,1.923,2512.27,0.554,2511.3,0.846,2512.28,10.51,2511.28,0.008,2512.29,0.041,2511.25,0.062,2512.3,4.951,2511.2,7.009,2512.33,5.969,2511.19,22.683,2512.34,0.1,2511.17,0.016
binance-futures,ETHUSDC,1725148803689000,1725148803695126,2511.81,20.248,2511.8,1.998,2511.85,8.28,2511.75,0.05,2511.86,12.893,2511.7,0.05,2511.9,0.796,2511.65,0.091,2511.95,1.045,2511.6,0.846,2511.96,0.995,2511.55,0.647,2511.97,5.971,2511.52,0.041,2511.99,16.001,2511.5,0.858,2512,10.798,2511.45,0.05,2512.04,11.142,2511.42,2.612,2512.05,0.05,2511.4,0.846,2512.06,0.597,2511.37,0.154,2512.09,11.141,2511.36,0.413,2512.1,0.846,2511.35,1.923,2512.12,0.995,2511.3,3.833,2512.14,0.152,2511.28,0.008,2512.15,0.05,2511.25,0.062,2512.19,4.106,2511.2,7.108,2512.2,0.846,2511.19,16.71,2512.25,4.506,2511.17,0.016,2512.26,0.012,2511.15,0.05,2512.27,0.554,2511.1,0.796,2512.28,10.51,2511.09,0.05,2512.29,0.041,2511.07,6.369,2512.3,0.846,2511.06,0.403
binance-futures,ETHUSDC,1725148803740000,1725148803744363,2511.66,0.136,2511.65,0.091,2511.7,0.622,2511.6,0.05,2511.71,12.157,2511.55,0.647,2511.72,0.21,2511.52,0.041,2511.76,0.615,2511.5,0.858,2511.8,9.787,2511.45,0.05,2511.81,5.638,2511.43,0.906,2511.86,3.353,2511.42,2.612,2511.9,0.796,2511.4,0.846,2511.94,5.016,2511.37,0.154,2511.95,1.045,2511.36,0.01,2511.96,0.995,2511.35,1.923,2511.99,4.859,2511.31,0.995,2512,10.798,2511.3,3.833,2512.05,0.05,2511.28,0.008,2512.06,0.597,2511.27,1.365,2512.09,15.247,2511.25,0.062,2512.1,0.846,2511.22,1.774,2512.14,0.152,2511.2,7.009,2512.15,0.05,2511.19,16.71,2512.2,0.846,2511.17,0.016,2512.24,6.068,2511.15,0.05,2512.25,4.506,2511.1,0.796,2512.26,0.012,2511.09,0.05,2512.27,0.554,2511.06,0.403
binance-futures,ETHUSDC,1725148803791000,1725148803794671,2511.66,14.802,2511.65,0.091,2511.67,0.03,2511.6,0.05,2511.71,6.597,2511.55,0.05,2511.72,0.21,2511.52,0.041,2511.76,0.17,2511.5,0.846,2511.79,4.405,2511.45,0.05,2511.8,1.853,2511.42,2.612,2511.81,2.392,2511.4,1.443,2511.86,3.353,2511.37,0.154,2511.88,0.995,2511.35,1.923,2511.89,11.142,2511.3,0.846,2511.9,0.796,2511.28,0.008,2511.91,0.597,2511.27,1.365,2511.93,0.995,2511.25,0.062,2511.94,11.142,2511.22,1.774,2511.95,1.045,2511.2,7.009,2511.98,0.995,2511.19,16.71,2511.99,4.859,2511.17,0.016,2512,10.798,2511.15,3.037,2512.05,0.05,2511.1,0.796,2512.09,4.106,2511.09,0.05,2512.1,0.846,2511.06,0.403,2512.14,0.152,2511.04,0.05,2512.15,0.05,2511,1.054,2512.16,2.986,2510.99,2.278
binance-futures,ETHUSDC,1725148803844000,1725148803847630,2511.53,12.076,2511.52,0.041,2511.56,0.923,2511.5,0.05,2511.57,0.045,2511.45,0.05,2511.6,1.853,2511.4,0.05,2511.61,1.041,2511.35,1.923,2511.64,7.65,2511.3,0.846,2511.65,0.995,2511.27,0.597,2511.66,1,2511.25,0.062,2511.68,9.953,2511.2,0.05,2511.69,2.612,2511.19,16.71,2511.78,0.597,2511.17,0.016,2511.79,0.836,2511.15,0.05,2511.8,1.853,2511.1,0.796,2511.81,1.596,2511.09,0.05,2511.86,0.741,2511.07,1.365,2511.87,5.02,2511.06,0.403,2511.88,0.995,2511.04,0.05,2511.9,0.796,2511.02,4.761,2511.93,0.995,2511,1.054,2511.95,0.149,2510.99,2.278,2511.98,5.101,2510.94,0.05,2511.99,4.859,2510.92,0.6,2512,0.846,2510.89,0.05,2512.01,0.012,2510.88,0.016,2512.03,2.986,2510.84,0.05
