trade_id,entry_time,exit_time,side,strategy_name,entry_order_type,exit_order_type,entry_price,effective_entry_price,exit_price,effective_exit_price,size_units,position_notional,gross_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding,net_pnl,return_pct,exit_reason,duration_bars,maker_fill_status
1,1704068700.0,1704068760.0,buy,Aggression Momentum Scalper,taker,taker,65056.907834985315,65063.41352576881,64926.79401931535,64920.301339913414,0.01536962089460528,1000.0,-1.9998000199979469,0.75,0.7483503149685032,1.4983503149685031,0.09999000099984702,0.0997900209979359,0.19978002199778291,0.0,-3.697930356964233,-0.003697930356964233,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
2,1704070140.0,1704070140.0,sell,Aggression Momentum Scalper,taker,taker,64915.5757623811,64909.084204804865,65045.40691390586,65051.911454597255,0.015406164056247392,1000.0,-2.000200020002003,0.75,0.7516503150315031,1.5016503150315033,0.10001000100005532,0.10021002100212695,0.20022002200218225,0.0,-3.7020703570356885,-0.0037020703570356884,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
3,1704080760.0,1704080760.0,buy,Aggression Momentum Scalper,taker,taker,65116.99082835575,65123.502527438584,64986.75684669904,64980.25817101437,0.015355439452579635,1000.0,-1.9998000199979922,0.75,0.7483503149685032,1.4983503149685031,0.09999000099984375,0.09979002099790417,0.19978002199774791,0.0,-3.6979303569642434,-0.0036979303569642436,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
4,1704081120.0,1704081120.0,sell,Aggression Momentum Scalper,taker,taker,64868.570433379784,64862.083576336445,64998.307574246544,65004.807405003965,0.01541732773390013,1000.0,-2.000200020002014,0.75,0.7516503150315031,1.5016503150315033,0.10001000100011752,0.10021002100203721,0.20022002200215472,0.0,-3.7020703570356717,-0.003702070357035672,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
5,1704082980.0,1704083100.0,buy,Aggression Momentum Scalper,taker,taker,65105.008466895444,65111.51896774213,64974.79844996165,64968.30097011665,0.01535826557041965,1000.0,-1.999800019998043,0.75,0.7483503149685031,1.4983503149685031,0.0999900009998351,0.09979002099793532,0.19978002199777042,0.0,-3.6979303569643163,-0.003697930356964316,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
6,1704083580.0,1704083640.0,sell,Aggression Momentum Scalper,taker,taker,64904.145245731255,64897.65483120668,65033.95353622272,65040.45693157634,0.015408877294578911,1000.0,-2.000200020002003,0.75,0.7516503150315031,1.5016503150315033,0.10001000100012257,0.10021002100204277,0.20022002200216532,0.0,-3.7020703570356717,-0.003702070357035672,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
7,1704084420.0,1704084420.0,sell,Aggression Momentum Scalper,taker,taker,64911.22557105644,64904.73444849934,65041.048022198556,65047.552127000774,0.01540719653962194,1000.0,-2.0002000200020174,0.75,0.7516503150315031,1.5016503150315033,0.10001000100008965,0.10021002100206584,0.2002200220021555,0.0,-3.702070357035676,-0.003702070357035676,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
8,1704086100.0,1704086100.0,sell,Aggression Momentum Scalper,taker,taker,64863.0459931455,64856.559688546185,64992.772085131786,64999.271362340296,0.0154186408406828,1000.0,-2.000200020001973,0.75,0.751650315031503,1.501650315031503,0.10001000100005378,0.10021002100204716,0.20022002200210093,0.0,-3.7020703570355766,-0.0037020703570355765,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
9,1704087840.0,1704087960.0,sell,Aggression Momentum Scalper,taker,taker,64964.20665956897,64957.71023890301,65094.13507288811,65100.644486395395,0.015394631312005552,1000.0,-2.0002000200020245,0.75,0.7516503150315031,1.5016503150315033,0.10001000100010121,0.10021002100206938,0.2002200220021706,0.0,-3.7020703570356983,-0.0037020703570356983,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
10,1704088740.0,1704088800.0,buy,Aggression Momentum Scalper,taker,taker,65109.39172739397,65115.90266656671,64979.172943939186,64972.67502664479,0.015357231629278215,1000.0,-1.9998000199979953,0.75,0.7483503149685032,1.4983503149685031,0.099990000999883,0.09979002099788793,0.19978002199777095,0.0,-3.697930356964269,-0.0036979303569642692,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
