trade_id,entry_time,exit_time,side,strategy_name,entry_order_type,exit_order_type,entry_price,effective_entry_price,exit_price,effective_exit_price,size_units,position_notional,gross_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding,net_pnl,return_pct,exit_reason,duration_bars,maker_fill_status
1,1704068700.0,1704068760.0,buy,Aggression Momentum Scalper,taker,taker,65056.907834985315,65089.436288902805,64926.79401931535,64894.33062230569,0.015363476118635422,1000.0,-1.9990004997500717,0.5,0.4985012493753125,0.9985012493753125,0.49975012493749,0.49875062468761094,0.9985007496251009,0.0,-3.996002498750485,-0.003996002498750486,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
2,1704070140.0,1704070140.0,sell,Aggression Momentum Scalper,taker,taker,64915.5757623811,64883.11797449991,65045.40691390586,65077.92961736281,0.015412329604644089,1000.0,-2.001000500250128,0.5,0.5015012506253126,1.0015012506253127,0.500250125062532,0.5012506253125658,1.0015007503750977,0.0,-4.004002501250538,-0.004004002501250538,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
3,1704080760.0,1704080760.0,buy,Aggression Momentum Scalper,taker,taker,65116.99082835575,65149.54932376993,64986.75684669904,64954.2634682757,0.015349300346351716,1000.0,-1.9990004997501167,0.5,0.4985012493753124,0.9985012493753125,0.49975012493747334,0.4987506246875642,0.9985007496250375,0.0,-3.9960024987504665,-0.0039960024987504665,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
4,1704081120.0,1704081120.0,sell,Aggression Momentum Scalper,taker,taker,64868.570433379784,64836.136148163096,64998.307574246544,65030.80672803366,0.01542349775000174,1000.0,-2.001000500250139,0.5,0.5015012506253127,1.0015012506253127,0.5002501250625067,0.5012506253125657,1.0015007503750724,0.0,-4.004002501250524,-0.004004002501250523,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
5,1704082980.0,1704083100.0,buy,Aggression Momentum Scalper,taker,taker,65105.008466895444,65137.560971128885,64974.79844996165,64942.31105073667,0.01535212533430954,1000.0,-1.999000499750168,0.5,0.4985012493753124,0.9985012493753125,0.49975012493743026,0.4987506246876084,0.9985007496250387,0.0,-3.996002498750519,-0.0039960024987505186,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
6,1704083580.0,1704083640.0,sell,Aggression Momentum Scalper,taker,taker,64904.145245731255,64871.69317310839,65033.95353622272,65066.470512990825,0.01541504392881386,1000.0,-2.001000500250128,0.5,0.5015012506253127,1.0015012506253127,0.500250125062532,0.5012506253125933,1.0015007503751252,0.0,-4.004002501250566,-0.004004002501250567,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
7,1704084420.0,1704084420.0,sell,Aggression Momentum Scalper,taker,taker,64911.22557105644,64878.76995827092,65041.048022198556,65073.56854620965,0.015413362501218587,1000.0,-2.001000500250142,0.5,0.5015012506253126,1.0015012506253127,0.5002501250624795,0.5012506253125966,1.001500750375076,0.0,-4.004002501250531,-0.004004002501250531,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
8,1704086100.0,1704086100.0,sell,Aggression Momentum Scalper,taker,taker,64863.0459931455,64830.614470148925,64992.772085131786,65025.26847117435,0.015424811382289879,1000.0,-2.001000500250098,0.5,0.5015012506253127,1.0015012506253127,0.5002501250625245,0.5012506253126154,1.0015007503751399,0.0,-4.00400250125055,-0.00400400250125055,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
9,1704087840.0,1704087960.0,sell,Aggression Momentum Scalper,taker,taker,64964.20665956897,64931.72455623919,65094.13507288811,65126.68214042455,0.01540079224499685,1000.0,-2.001000500250149,0.5,0.5015012506253126,1.0015012506253127,0.5002501250624252,0.5012506253126141,1.0015007503750393,0.0,-4.004002501250501,-0.004004002501250502,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
10,1704088740.0,1704088800.0,buy,Aggression Momentum Scalper,taker,taker,65109.39172739397,65141.946423257665,64979.172943939186,64946.68335746722,0.015351091806537875,1000.0,-1.9990004997501203,0.5,0.4985012493753124,0.9985012493753125,0.49975012493744625,0.49875062468759485,0.9985007496250411,0.0,-3.9960024987504736,-0.0039960024987504734,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
11,1704088860.0,1704088860.0,sell,Aggression Momentum Scalper,taker,taker,64915.186814075925,64882.729220668894,65045.01718770408,65077.53969629793,0.015412421949745021,1000.0,-2.001000500250132,0.5,0.5015012506253126,1.0015012506253127,0.5002501250624208,0.5012506253126394,1.0015007503750604,0.0,-4.004002501250505,-0.004004002501250505,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
12,1704091200.0,1704091200.0,buy,Aggression Momentum Scalper,taker,taker,65091.29187285949,65123.83751879592,64961.10928911377,64928.62873446921,0.015355360465534328,1000.0,-1.9990004997501682,0.5,0.49850124937531237,0.9985012493753124,0.4997501249375141,0.4987506246876554,0.9985007496251694,0.0,-3.99600249875065,-0.0039960024987506495,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
13,1704091680.0,1704091680.0,sell,Aggression Momentum Scalper,taker,taker,64883.66883503714,64851.22700061963,65013.43617270722,65045.942890793565,0.015419908708750343,1000.0,-2.001000500250164,0.5,0.5015012506253126,1.0015012506253127,0.5002501250624568,0.5012506253125694,1.0015007503750262,0.0,-4.004002501250502,-0.0040040025012505025,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
14,1704094860.0,1704094920.0,buy,Aggression Momentum Scalper,taker,taker,65075.90941380815,65108.44736851505,64945.75759498053,64913.28471618304,0.015358990122126258,1000.0,-1.999000499750133,0.5,0.4985012493753124,0.9985012493753125,0.4997501249375053,0.4987506246876383,0.9985007496251437,0.0,-3.996002498750589,-0.003996002498750589,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
15,1704095760.0,1704095760.0,sell,Aggression Momentum Scalper,taker,taker,64851.743807951454,64819.31793604748,64981.447295567355,65013.93801921514,0.01542749957638597,1000.0,-2.0010005002501017,0.5,0.5015012506253126,1.0015012506253127,0.5002501250624692,0.5012506253126169,1.0015007503750861,0.0,-4.0040025012505005,-0.004004002501250501,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
